code,lat,lon
E02000073,51.472251,0.125793
E02000074,51.469029,0.177348
E02000075,51.469465,0.141433
E02000077,51.467517,0.115148
E02000078,51.466174,0.167154
E02000079,51.458927,0.137869
E02000080,51.459782,0.103633
E02000081,51.457372,0.157481
E02000082,51.457750,0.089666
E02000083,51.451883,0.183153
E02000084,51.452493,0.129106
E02000085,51.448247,0.108273
E02000086,51.445572,0.094931
E02000087,51.443288,0.148540
E02000088,51.439719,0.122155
E02000089,51.437316,0.086184
E02000090,51.430066,0.097754
E02000091,51.426978,0.110601
E02000092,51.420306,0.127119
E02000093,51.593750,-0.274429
E02000094,51.588093,-0.258910
E02000095,51.584619,-0.281143
E02000096,51.580838,-0.303402
E02000097,51.575652,-0.261631
E02000098,51.574166,-0.287315
E02000099,51.568942,-0.300680
E02000100,51.568523,-0.316734
E02000101,51.565381,-0.269541
E02000102,51.565032,-0.248210
E02000103,51.563157,-0.233516
E02000104,51.562645,-0.292024
E02000105,51.558681,-0.312306
E02000106,51.558340,-0.249980
E02000107,51.556099,-0.219116
E02000108,51.556896,-0.324798
E02000110,51.552804,-0.231098
E02000111,51.551568,-0.302866
E02000112,51.552842,-0.288939
E02000113,51.548875,-0.263278
E02000114,51.547418,-0.229074
E02000115,51.546757,-0.210711
E02000116,51.548116,-0.237415
E02000117,51.544420,-0.250141
E02000118,51.544295,-0.290139
E02000119,51.540665,-0.261839
E02000120,51.540106,-0.200103
E02000121,51.541248,-0.297811
E02000122,51.540193,-0.221898
E02000123,51.536541,-0.246087
E02000124,51.533753,-0.213371
E02000125,51.533730,-0.228453
E02000126,51.532746,-0.197129
E02000127,51.429313,0.046168
E02000128,51.422772,0.066600
E02000130,51.417901,-0.050592
E02000131,51.416065,-0.070929
E02000132,51.414301,-0.028450
E02000133,51.410881,0.055657
E02000134,51.411376,0.015734
E02000135,51.412269,-0.060481
E02000136,51.405335,0.094597
E02000137,51.406513,-0.002526
E02000138,51.407813,-0.017372
E02000139,51.407799,-0.044532
E02000140,51.403276,0.107667
E02000141,51.405961,-0.058104
E02000142,51.404004,0.032499
E02000144,51.399364,0.013727
E02000145,51.394821,0.119759
E02000146,51.394453,0.034807
E02000147,51.393887,-0.001198
E02000148,51.392189,0.058254
E02000149,51.390452,0.102427
E02000150,51.392688,-0.032106
E02000151,51.386055,0.079993
E02000152,51.385980,0.047670
E02000153,51.382392,0.008920
E02000154,51.379571,0.096924
E02000155,51.378954,0.112802
E02000156,51.376133,-0.013962
E02000157,51.372982,0.077483
E02000158,51.371277,0.115017
E02000159,51.369812,0.045299
E02000160,51.369135,0.006697
E02000161,51.363862,0.091699
E02000162,51.361381,0.069002
E02000163,51.354319,0.099715
E02000165,51.311001,0.027492
E02000166,51.562867,-0.146768
E02000167,51.557330,-0.173496
E02000168,51.555522,-0.141456
E02000169,51.556147,-0.187127
E02000170,51.553489,-0.199860
E02000171,51.552945,-0.159296
E02000172,51.549885,-0.149157
E02000173,51.549954,-0.173645
E02000174,51.549148,-0.135789
E02000175,51.549561,-0.191715
E02000176,51.547688,-0.168281
E02000177,51.546278,-0.152972
E02000178,51.546692,-0.200010
E02000179,51.544406,-0.164866
E02000180,51.544214,-0.130533
E02000181,51.543837,-0.187362
E02000182,51.542149,-0.175397
E02000183,51.540523,-0.152795
E02000184,51.538863,-0.136280
E02000185,51.538922,-0.187851
E02000186,51.535017,-0.141828
E02000187,51.532495,-0.132622
E02000188,51.528714,-0.141182
E02000191,51.522227,-0.134043
E02000192,51.521775,-0.113283
E02000193,51.517947,-0.124263
E02000194,51.415959,-0.086330
E02000195,51.415626,-0.103969
E02000196,51.408535,-0.115722
E02000197,51.407015,-0.125589
E02000198,51.405340,-0.099503
E02000199,51.403191,-0.092375
E02000200,51.401516,-0.080156
E02000201,51.399129,-0.070005
E02000202,51.398756,-0.110733
E02000203,51.397002,-0.099108
E02000204,51.394983,-0.117264
E02000206,51.391834,-0.091385
E02000207,51.390017,-0.069633
E02000208,51.387780,-0.107345
E02000209,51.386994,-0.123436
E02000210,51.384846,-0.078019
E02000211,51.384833,-0.045379
E02000212,51.382951,-0.113062
E02000213,51.381980,-0.099229
E02000214,51.380307,-0.067604
E02000215,51.378854,-0.084196
E02000216,51.371532,-0.083307
E02000217,51.372015,-0.109785
E02000218,51.369357,-0.029259
E02000219,51.372166,-0.045083
E02000221,51.361794,-0.111724
E02000222,51.358630,-0.091272
E02000223,51.352963,-0.020041
E02000224,51.349555,-0.099158
E02000225,51.347021,-0.014193
E02000226,51.346880,-0.064556
E02000227,51.346572,-0.044957
E02000228,51.339973,-0.084605
E02000229,51.338138,-0.008291
E02000230,51.339371,-0.112831
E02000231,51.332395,-0.133374
E02000232,51.325788,-0.067975
E02000233,51.326190,-0.108532
E02000234,51.321835,-0.129721
E02000235,51.320781,-0.095252
E02000236,51.316242,-0.150751
E02000237,51.303619,-0.117989
E02000238,51.553855,-0.348546
E02000239,51.552188,-0.329462
E02000240,51.551132,-0.371292
E02000241,51.547601,-0.363682
E02000242,51.540265,-0.311477
E02000243,51.538060,-0.347122
E02000244,51.536500,-0.327449
E02000245,51.535110,-0.382087
E02000246,51.535392,-0.396103
E02000247,51.533770,-0.369593
E02000248,51.529153,-0.291953
E02000249,51.528348,-0.352351
E02000250,51.525911,-0.309220
E02000251,51.526219,-0.364124
E02000252,51.522260,-0.261127
E02000253,51.522813,-0.337046
E02000254,51.520814,-0.372802
E02000255,51.519828,-0.325398
E02000256,51.516095,-0.315208
E02000258,51.514982,-0.271335
E02000259,51.515589,-0.337913
E02000260,51.512836,-0.372951
E02000261,51.509889,-0.251644
E02000262,51.509198,-0.268733
E02000263,51.510892,-0.384545
E02000264,51.509040,-0.284784
E02000265,51.508895,-0.324966
E02000266,51.508457,-0.360349
E02000267,51.506704,-0.337727
E02000268,51.504586,-0.301066
E02000269,51.504407,-0.316023
E02000270,51.503129,-0.272104
E02000271,51.500871,-0.258317
E02000272,51.501188,-0.325091
E02000275,51.499046,-0.376364
E02000276,51.496450,-0.309230
E02000277,51.676920,-0.035706
E02000278,51.673071,-0.045087
E02000279,51.670373,-0.023958
E02000280,51.666039,-0.084464
E02000281,51.664021,-0.061507
E02000282,51.663505,-0.046848
E02000283,51.660340,-0.036839
E02000284,51.659737,-0.086439
E02000285,51.659063,-0.071901
E02000286,51.656873,-0.097597
E02000287,51.651329,-0.150514
E02000288,51.648899,-0.046886
E02000289,51.648981,-0.117865
E02000290,51.647153,-0.036887
E02000291,51.646222,-0.073263
E02000292,51.644145,-0.064672
E02000293,51.643207,-0.095952
E02000294,51.639065,-0.046063
E02000295,51.639249,-0.118762
E02000296,51.638954,-0.133763
E02000297,51.636040,-0.079604
E02000298,51.633559,-0.101319
E02000299,51.631725,-0.052884
E02000300,51.630456,-0.064628
E02000301,51.626364,-0.049193
E02000302,51.623875,-0.094053
E02000303,51.622954,-0.068944
E02000304,51.623886,-0.122697
E02000305,51.622040,-0.106561
E02000306,51.620424,-0.058970
E02000307,51.619651,-0.080085
E02000308,51.614359,-0.134411
E02000309,51.612711,-0.059805
E02000311,51.612676,-0.098433
E02000312,51.612139,-0.115773
E02000313,51.504322,0.115552
E02000314,51.500951,0.094848
E02000315,51.493748,0.113117
E02000317,51.488761,0.052348
E02000318,51.487305,0.093985
E02000319,51.487646,0.084000
E02000320,51.486971,0.112690
