code,lat,lon
E07000087,50.851908,-1.216661
E07000088,50.804973,-1.157846
E07000089,51.291899,-0.861836
E07000090,50.858549,-0.999321
E07000091,50.834447,-1.569872
E07000092,51.275776,-0.762699
E07000093,51.119866,-1.482873
E07000094,51.027214,-1.265800
E07000095,51.724912,-0.035090
E07000096,51.763348,-0.513669
E07000098,51.669185,-0.279245
E07000099,51.970598,-0.202425
E07000102,51.649517,-0.443242
E07000103,51.668378,-0.400317
E07000105,51.134414,0.836487
E07000106,51.317577,1.089132
E07000107,51.436403,0.240141
E07000108,51.191907,1.319668
E07000109,51.418484,0.373327
E07000110,51.249922,0.538081
E07000111,51.318938,0.191446
E07000112,51.066598,1.092396
E07000113,51.364940,0.784902
E07000114,51.362344,1.389945
E07000115,51.258378,0.358687
E07000116,51.132590,0.323970
E07000117,53.793430,-2.250584
E07000118,53.662403,-2.650513
E07000119,53.765089,-2.954824
E07000120,53.757774,-2.387395
E07000121,54.064175,-2.808596
E07000122,53.861229,-2.191452
E07000123,53.778194,-2.704662
E07000124,53.842912,-2.454793
E07000125,53.694069,-2.268236
E07000126,53.720317,-2.704054
E07000127,53.580621,-2.827939
E07000128,53.888422,-2.968228
E07000129,52.589926,-1.201275
E07000130,52.734544,-1.169947
E07000131,52.521330,-1.034987
E07000132,52.586138,-1.339615
E07000133,52.784247,-0.884574
E07000134,52.745686,-1.401868
E07000135,52.590336,-1.096337
E07000136,52.971026,-0.030334
E07000137,53.245527,0.106164
E07000138,53.225023,-0.553807
E07000139,53.101496,-0.472101
E07000140,52.786673,-0.067929
E07000141,52.817642,-0.513155
E07000142,53.358128,-0.568686
E07000143,52.571657,0.862482
E07000144,52.676126,1.317881
E07000145,52.609002,1.705845
E07000146,52.738090,0.428950
E07000147,52.853891,1.227352
E07000148,52.631811,1.282258
E07000149,52.535201,1.240254
E07000163,53.990837,-2.122531
E07000164,54.294263,-1.358612
E07000165,54.033624,-1.525103
E07000166,54.377657,-1.770763
E07000167,54.181415,-0.837666
E07000168,54.322034,-0.476610
E07000169,53.786822,-1.138169
E07000170,53.089672,-1.255238
E07000171,53.331549,-1.032726
E07000172,52.954350,-1.253426
E07000173,52.998003,-1.109760
E07000174,53.158789,-1.181325
E07000175,53.103054,-0.913881
E07000176,52.908009,-1.082691
